"","Mean","SD","Naive SE","Time-series SE"
"beta_iter[119]",0.397738873062804,0.0326212633359642,0.000421138698774786,0.000755119894269721
"beta_iter[120]",0.560647716441983,0.0586109071009567,0.000756663557027051,0.0033023091546856
"beta_iter[121]",0.557170526128226,0.0492665081345487,0.000636027885102998,0.00205746008210905
"beta_iter[122]",0.626398351616606,0.0415773900544688,0.000536761797532426,0.00159468231475334
"beta_iter[123]",0.542496276431282,0.0424279184811884,0.000547742072306295,0.00141693379445636
"beta_iter[124]",0.636656707028588,0.0555621244289188,0.000717303941977022,0.00295219137771319
"beta_iter[125]",0.493412476554704,0.0361832419879879,0.000467123645437566,0.000924781766780826
"beta_iter[126]",0.621468461631412,0.0514580147345288,0.00066432011365242,0.00255347871747152
"beta_iter[127]",0.518447226967782,0.035397445176162,0.000456979052218552,0.000892270847614585
"beta_iter[128]",0.425131415790796,0.0348937406420521,0.000450476254645162,0.000787019548248702
"beta_iter[129]",0.524937866951199,0.0570795464374129,0.000736893775870577,0.00276386193838226
"beta_iter[130]",0.497564959188626,0.0379146658605448,0.000489476231516363,0.00107071460580269
"beta_iter[131]",0.499189923184483,0.0522222553937519,0.000674186418137972,0.00222483009922755
"beta_iter[132]",0.386664547646581,0.0398700764811801,0.000514720474078755,0.00116286174067382
"beta_iter[133]",0.525636443356474,0.0397075509545748,0.000512622278552502,0.00122330788244659
"beta_iter[134]",0.371617452663919,0.0338495350355805,0.000436995618232226,0.000821713516414395
"beta_iter[135]",0.546162689474118,0.0675712468069677,0.000872341045219523,0.00397757952288706
"beta_iter[136]",0.401945563956104,0.036350155499633,0.000469278489607095,0.00104675232179658
"beta_iter[137]",0.552313542127932,0.0530492168219898,0.000684862444269709,0.00242123215066995
"beta_iter[138]",0.486969187037503,0.040742699641435,0.000525985990636029,0.00120905532801628
"beta_iter[139]",0.521182184059592,0.0524529360797504,0.000677164492988518,0.00231785762675084
"beta_iter[140]",0.452623760128229,0.0431453110296929,0.000557003570283132,0.00145608316580498
"beta_iter[141]",0.573785300743507,0.0634267330297952,0.000818835602429135,0.00379964197937335
"beta_iter[142]",0.606242376173468,0.0405863652855873,0.000523967722780568,0.00135139938779788
"beta_iter[143]",0.465380516320756,0.0507783961110957,0.000655546274951324,0.00190447339863666
"beta_iter[144]",0.614687462697013,0.0436203534758509,0.000563136341892171,0.00177705641379063
"beta_iter[145]",0.431115500956693,0.0480457205759191,0.000620267585490232,0.00189703188703043
"beta_iter[146]",0.405635623636193,0.0332455480612543,0.000429198179922588,0.000754132300453833
"beta_iter[147]",0.532773853359755,0.039314342674283,0.000507545981481965,0.00115952304285403
"beta_iter[148]",0.451008382238033,0.045185526948347,0.000583342644535182,0.00155434760598558
"beta_iter[149]",0.582094174762753,0.079881573117908,0.00103126667451503,0.00667861789683896
"beta_iter[150]",0.427558409691211,0.0432070671964802,0.000557800838968109,0.0013702507403987
"beta_iter[151]",0.484752859274722,0.0555011264636424,0.000716516461631462,0.00238201790312622
"beta_iter[152]",0.464218485064045,0.0346577816116475,0.000447430036661348,0.00081277716663117
"beta_iter[153]",0.526788897088853,0.0566641959983355,0.000731531624759288,0.00268003267856572
"beta_iter[154]",0.396172534930266,0.0361115722025171,0.000466198392485719,0.000951585152203354
"beta_iter[155]",0.469970561485395,0.0364988450294559,0.00047119806318296,0.00090700663052545
"beta_iter[156]",0.424230013730574,0.0425820762497221,0.00054973224054036,0.00139765496237232
"beta_iter[157]",0.444151771035254,0.0373459988729961,0.000482134772275316,0.000984760160399023
"beta_iter[158]",0.492641717597322,0.0388341068133469,0.000501346163176441,0.00109619155364709
"beta_iter[159]",0.418123093321052,0.058153493520366,0.000750758373093862,0.00268577582546829
"beta_iter[160]",0.450063232590019,0.0398550610583203,0.00051452662580318,0.00120324115672968
"beta_iter[161]",0.508302732860292,0.0464587445846725,0.000599779813540469,0.00164453230956398
"beta_iter[162]",0.574052671071981,0.0406321339506848,0.000524558593706237,0.00134320389626965
"beta_iter[163]",0.463613300484582,0.0594044015244633,0.000766907525985549,0.00285144576294987
"beta_iter[164]",0.50683611992954,0.0702947357461563,0.000907501136236382,0.00431781234653427
"beta_iter[165]",0.435527114841707,0.0334359033857245,0.00043165565659437,0.000748679234462308
"beta_iter[166]",0.430476121659229,0.0372450733051169,0.000480831828796641,0.000915029363658041
"beta_iter[167]",0.481919822641645,0.0480476623572826,0.000620292653779841,0.0018278214739481
"beta_iter[168]",0.598788242343625,0.0559093879264629,0.000721787094452803,0.00285238273947071
"beta_iter[169]",0.579388453257196,0.0412641660752231,0.000532718093348253,0.00135152589168744
"beta_iter[170]",0.448090188323207,0.0354378062689954,0.00045750011168648,0.000874669553952512
"beta_iter[171]",0.405604579934572,0.0328643011174038,0.000424276303041502,0.000781012446867964
"beta_iter[172]",0.494844509240806,0.0751275613500159,0.000969892646499293,0.00502463862793684
"beta_iter[173]",0.427573288649182,0.0420345633803577,0.000542663879790751,0.00128817999745756
"beta_iter[174]",0.374823408427475,0.0330110379937292,0.000426170667969111,0.000805196293800162
"beta_iter[175]",0.453752775206974,0.0406318546022779,0.000524554987333811,0.00125158203941547
"beta_iter[176]",0.415166598920034,0.0344519480329125,0.000444772736586245,0.000807522672925953
"beta_iter[177]",0.493984648450324,0.0475668279046186,0.00061408510768834,0.00174393228368848
"beta_iter[178]",0.55437399749424,0.0556908154780485,0.000718965336277307,0.00263814147215721
"beta_iter[179]",0.432798660201142,0.0488160244020493,0.000630212165123973,0.00185381149942901
"beta_iter[180]",0.538517824059664,0.0600303496885232,0.000774988482035527,0.00297999836069152
"beta_iter[181]",0.611709590778142,0.0380985903603196,0.000491850686598321,0.00123796482458399
"beta_iter[182]",0.528706694743853,0.0503387709359779,0.000649870738345308,0.00203199936874534
"beta_iter[183]",0.475446325228372,0.0621063215392104,0.000801789163385217,0.00309469256023941
"beta_iter[184]",0.432890246546337,0.0343386094435924,0.000443309541689847,0.000784476242185401
"beta_iter[185]",0.58429263747124,0.0370893219098487,0.0004788210869299,0.00107522241066508
"beta_iter[186]",0.465260672252244,0.0488239765442034,0.000630314826837738,0.0020027303768964
"beta_iter[187]",0.632060233978087,0.0633940448454274,0.000818413599783555,0.004162083789895
"beta_iter[188]",0.530498264161053,0.0458854004849723,0.000592377973041184,0.00162283245991268
